SNo,latitude,longitude,state,code,name,address,division
11031,,,,SVGL,Shrivagulu,,MYS
11032,14.00842,76.28774,,NRF,Neralakatte,,MYS
11033,11.95614,76.90201,,MRLA,Mariyala Gangawadi Halt,,MYS
11034,12.07552,76.7495,,NBU,Narasambudhi Halt,,MYS
11035,,,,KRNH,Kornahalli Halt,,MYS
11036,14.01273,75.50662,,KGV,Konagavalli Halt,,MYS
11037,14.05889,75.38999,,KSMJ,Kumsi,,MYS
11038,14.01726,75.28458,,KCLA,Kenchanalu Halt,,MYS
11039,13.95479,75.35761,,AEX,Adderi Halt,,MYS
11040,14.1667,75.0333,,SRF,Sagara Jambagaru,,MYS
11041,,,,BLHI,Bisilehalli Halt,,MYS
11042,13.43176,75.92455,,SHYP,Shakrayapatna,,MYS
11043,13.32841,75.90965,,KNVH,Kanivehalli Halt,,MYS
11044,13.313,75.737,,CMGR,Chikmagalur,,MYS
11045,12.89751,77.61346,,BBNH,Bedara Bommanahalli,,MYS
11046,14.46355,76.40749,,BEHI,Bennehalli,,MYS
11047,14.78826,75.9856,,HPHI,Harpanahalli,,MYS
11048,,,,TLGI,Teligi,,MYS
11049,14.49822,75.85409,,AVC,Amravathi Colony,,MYS
11050,13.10012,77.59634,,YNK,Yelahanka,,SBC
11051,13.17391,77.55891,,RNN,Rajankunti,,SBC
11052,13.2973,77.5384,,DBU,Doddaballapur,,SBC
11053,13.34606,77.54112,,ORH,Oddarahalli,,SBC
11054,13.40978,77.50984,,MKL,Makalidurga,,SBC
11055,13.5042,77.51487,,TDV,Thondebhavi,,SBC
11056,13.56035,77.51272,,SMWA,Someshwara,,SBC
11057,13.61345,77.51314,,GBD,Gauribidanur,,SBC
11058,13.66655,77.50948,,VWA,Viduraswatha,,SBC
11059,13.72323,77.51195,,DPE,Devarapalli,,SBC
11060,13.8226,77.4993,,HUP,Hindupur,,SBC
11061,13.89179,77.54167,,MLU,Malugur,,SBC
11062,13.99759,77.58286,,CPL,Chakarapalli,,SBC
11063,14.02449,77.57569,,REPI,Rangepalli,,SBC
11064,14.10007,77.59458,,PKD,Penukonda,,SBC
11065,14.196,77.62848,,MKJ,Makkajipalli,,SBC
11066,14.32184,77.64346,,NGM,Nagasamudram,,SBC
11067,14.42261,77.71555,,DMM,Dharmavaram Jn,,SBC
11068,12.95753,77.53867,,KNDV,Krishnadevaraya Halt,,SBC
11069,13.02542,77.54382,,YPR,Yesvantpur,,SBC
11070,13.11219,77.3925,,NMGA,Nelamangala,,SBC
11071,11.87216,78.2318,,SOLR,Solur,,SBC
11072,12.87141,77.55649,,TASA,Thippasandra,,SBC
11073,13.0234,77.02,,KIGL,Kunigal,,SBC
11074,12.98319,76.8711,,YY,Yediyuru,,SBC
11075,12.96829,76.73313,,BGNR,B G Nagar,,SBC
11076,12.9471,76.58053,,HISE,Hirisave,,SBC
11077,12.87049,76.48112,,SBGA,Shravanabelagola,,SBC
11078,12.9012,76.3895,,CNPA,Chennarayapatna,,SBC
11079,12.90686,76.29288,,DSVS,D Samudravalli,,SBC
11080,12.98424,76.21626,,SIGA,Shantigrama,,SBC
11081,12.99121,77.65171,,BYPL,Baiyyappanahalli,,SBC
11082,12.77753,76.64138,,MNKH,Maranayakanahalli,,SBC
11083,12.5594,77.91121,,PRNT,Periyanagathunai,,SBC
11084,11.74348,78.04762,,OML,Omalur,,SBC
11085,13.04554,77.56843,,LOGH,Lottegollahalli ,,SBC
11086,13.04155,77.59952,,HEB,Hebbal,,SBC
11087,13.00584,77.62813,,BAND,Banaswadi,,SBC
11088,12.9988,77.6409,,SMVB,Sir M Visvesvaraya Terminal  Bengaluru,,SBC
11089,13.05696,77.57149,,KDGH,Kodigehalli,,SBC
11090,13.16081,77.60872,,TLS,Bettahalsoor,,SBC
11091,13.18051,77.64283,,DJL,Dodjala,,SBC
11092,13.20574,77.70404,,KIAD,Kempegowda International Airport Rly Stn,,SBC
11093,13.23,77.7,,DHL,Devanahalli,,SBC
11094,13.29891,77.72629,,AVT,Avatihalli,,SBC
11095,13.32774,77.73415,,VTE,Venkatagirikote,,SBC
11096,,,,NDY,Nandi,,SBC
11097,13.4312,77.7326,,CBP,Chikballapur,,SBC
11098,13.41433,77.80899,,GDH,Gidnahalli,,SBC
11099,13.392,77.865,,IDT,Sidlaghatta,,SBC
11100,13.40026,77.94691,,HUN,Hongashenhalli,,SBC
11101,13.4015,78.0553,,CMY,Chintamani,,SBC
11102,13.3743,78.13648,,DTT,Dodnata,,SBC
11103,13.43943,78.01511,,SVS,Srinivasapura,,SBC
11104,13.27524,78.1718,,DNU,Dalasanur,,SBC
11105,13.23025,78.14365,,TUHD,Thurandahalli,,SBC
11106,,,,GJT,Janaghatta,,SBC
